Item Description,Manufacturer part No,Name,Package Designator,Quantity
Voltage References PREC MICROPWR SHUNT VLTG REF,LM4040AIZ-4.1/NOPB,Texas Instruments,TO-92-3,3
Voltage References 2.5V 0.2% SHUNT REFERENCE,LM4040B25FTA,Diodes Incorporated,SOT-23-3,3
Voltage References VREG Shunt Reference SSOT23 T&R 3K,LM4040B41FTA,Diodes Incorporated,SOT-23-3,3
Infineon Technologies AURIX™ ShieldBuddyTC375 Development Board,KITA2GTC375ARDSBTOBO1,Infineon,Development Board,2
Non-Isolated DC/DC Converters 6.5-36Vin 5V 2A SIP switching regulator,TSR 2-2450,TRACO Power,SIP-3,3
Non-Isolated DC/DC Converters 6-36Vin 3.3Vout 1A SIP Non-Iso,TSR 1-2433E,TRACO Power,SIP-3,3
Schottky Diodes & Rectifiers PEC/SB240/TB/52mm/RoHS/3K/DO-15/SKY/AXIAL/SB-20/SB20-QI01/PJ///,SB240_AY_10001,Panjit,DO-15-2,5
Schottky Diodes & Rectifiers 3A 40V,MBRA340T3G,ON Semiconductor,SMA (DO-214AC),5
Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 0.1uF X8R 1210 1% AEC-Q200,C1210C104F8HACAUTO,KEMET,SMD/SMT,10
Tantalum Capacitors - Solid SMD 16V 47uF 20% 2917 ESR = .9 Ohm,TAJD476M016UNJV,AVX,SMD/SMT,5
Ferrite Beads 0603 10 OHM,BLM18BA100SN1D,Murata,SMD/SMT,5
Thick Film Resistors - SMD 51K OHM 1% 1/4W TC100,CMP0603AFX-5102ELF,Bourns,SMD/SMT,5
,,,,
,,,,
,,,,
,,,,
,,,,
